timestamp,DATE,event_type,severity,location
2025-08-03 21:04:55.935919,2025-08-03,System Disarmed,Low,Window
2025-08-04 16:56:00.935919,2025-08-04,System Armed,Low,Backyard
2025-08-06 14:02:00.935919,2025-08-06,Door Opened,Medium,Front Door
2025-08-07 07:56:26.935919,2025-08-07,Door Opened,High,Garage
2025-08-07 18:26:05.935919,2025-08-07,Camera Offline,High,Back Door
2025-08-09 15:34:46.935919,2025-08-09,Door Opened,Medium,Living Room
2025-08-10 03:01:34.935919,2025-08-10,Door Opened,High,Garage
2025-08-11 04:57:11.935919,2025-08-11,System Disarmed,High,Window
2025-08-12 09:26:03.935919,2025-08-12,Camera Offline,Low,Front Door
2025-08-12 21:08:43.935919,2025-08-12,System Disarmed,High,Living Room
2025-08-14 04:06:30.935919,2025-08-14,System Disarmed,High,Front Door
2025-08-15 11:22:01.935919,2025-08-15,Camera Offline,Medium,Window
2025-08-16 10:42:00.935919,2025-08-16,Motion Detected,Medium,Front Door
2025-08-16 16:54:29.935919,2025-08-16,System Disarmed,Low,Back Door
2025-08-18 09:17:15.935919,2025-08-18,System Armed,High,Living Room
2025-08-19 10:10:55.935919,2025-08-19,System Armed,High,Living Room
2025-08-20 10:43:45.935919,2025-08-20,Door Opened,High,Window
2025-08-21 11:34:29.935919,2025-08-21,System Armed,Low,Back Door
2025-08-21 18:10:11.935919,2025-08-21,Door Opened,Low,Garage
2025-08-23 15:46:44.935919,2025-08-23,Motion Detected,Medium,Front Door
2025-08-24 07:36:47.935919,2025-08-24,Camera Offline,Low,Backyard
2025-08-25 16:23:25.935919,2025-08-25,Camera Offline,High,Front Door
2025-08-26 00:39:53.935919,2025-08-26,Camera Offline,High,Front Door
2025-08-27 12:40:32.935919,2025-08-27,System Armed,Low,Garage
2025-08-27 23:49:18.935919,2025-08-27,Motion Detected,High,Front Door
2025-08-29 16:09:38.935919,2025-08-29,System Armed,High,Back Door
2025-08-29 21:48:51.935919,2025-08-29,System Armed,Low,Back Door
2025-08-30 17:27:27.935919,2025-08-30,Motion Detected,Low,Living Room
2025-09-01 09:07:30.935919,2025-09-01,Motion Detected,High,Window
2025-09-02 10:57:05.935919,2025-09-02,Motion Detected,High,Backyard
2025-09-03 16:12:34.935919,2025-09-03,Motion Detected,High,Front Door
2025-09-04 02:37:53.935919,2025-09-04,Camera Offline,Medium,Front Door
2025-09-05 11:25:35.935919,2025-09-05,Window Breach,Medium,Garage
2025-09-06 08:29:46.935919,2025-09-06,Window Breach,Medium,Window
2025-09-07 11:15:03.935919,2025-09-07,Motion Detected,Low,Back Door
2025-09-08 01:27:31.935919,2025-09-08,Window Breach,Medium,Backyard
2025-09-08 19:51:34.935919,2025-09-08,Window Breach,Low,Living Room
2025-09-10 11:53:12.935919,2025-09-10,Motion Detected,Low,Back Door
2025-09-10 17:46:30.935919,2025-09-10,Window Breach,Medium,Window
2025-09-12 04:15:06.935919,2025-09-12,System Armed,Medium,Living Room
2025-09-13 14:55:38.935919,2025-09-13,Door Opened,Medium,Garage
2025-09-13 19:38:47.935919,2025-09-13,Door Opened,High,Garage
2025-09-14 19:08:12.935919,2025-09-14,Motion Detected,Medium,Front Door
2025-09-16 13:14:29.935919,2025-09-16,Camera Offline,High,Window
2025-09-17 04:38:21.935919,2025-09-17,Motion Detected,Low,Backyard
2025-09-18 13:57:32.935919,2025-09-18,Camera Offline,High,Living Room
2025-09-18 23:19:57.935919,2025-09-18,Door Opened,Medium,Back Door
2025-09-20 11:37:28.935919,2025-09-20,Motion Detected,Low,Window
2025-09-20 23:13:03.935919,2025-09-20,System Disarmed,Low,Window
2025-09-22 06:10:55.935919,2025-09-22,System Armed,Low,Garage
2025-09-22 21:27:39.935919,2025-09-22,Window Breach,High,Front Door
2025-09-24 14:56:17.935919,2025-09-24,Camera Offline,Medium,Front Door
2025-09-25 02:40:20.935919,2025-09-25,System Disarmed,Low,Living Room
2025-09-26 11:20:21.935919,2025-09-26,Window Breach,Low,Garage
2025-09-27 11:59:39.935919,2025-09-27,Window Breach,Low,Window
2025-09-27 22:05:57.935919,2025-09-27,Motion Detected,High,Backyard
2025-09-29 11:10:57.935919,2025-09-29,Window Breach,High,Garage
2025-09-30 14:08:09.935919,2025-09-30,System Armed,Medium,Living Room
2025-10-01 14:37:33.935919,2025-10-01,System Disarmed,High,Living Room
2025-10-02 07:24:55.935919,2025-10-02,Window Breach,Low,Garage
